ID	CEP	Faturamento 2019	Gestor da Empresa
1	06330-190	26844	ALEXANDRE DE ALMEIDA FONSECA
2	06386-000	3058	ALINE BRAGA LAKISS GUSMÃO
3	06345-030	22126	ANA PAULA GARUTTI DA SILVA
4	06365-210	47253	ANA PAULA GONÇALVES DOS SANTOS
5	06329-350	39199	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
6	06361-230	20249	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
7	06386-000	21248	DANIEL ROCHA SANTANNA
8	06330-130	18466	DANIELA DE GOES NOGUEIRA GEORG
9	06365-210	5395	DAVI KHOURY OLIVEIRA
10	06330-190	34074	DEMILTON CARVALHO LEITE JUNIOR
11	06331-210	13938	DENIS BORGARELLI TAVARES
12	06327-320	26204	EDUARDO CAMPEDELLI KAVAMOTO
13	06361-350	22993	FABIO NETTO PINHEIRO GRANDE
14	06320-080	7359	FELIPE SANTOS ARAÚJO
15	06363-140	29607	GERALDO RODRIGUES DA SILVA JÚNIOR
16	06345-030	13794	HUGO AZEVEDO BERGAMASCHI
17	06385-180	50963	HUGO CRISOSTOMO DE MACEDO
18	06365-210	13155	HUGO DE MARCO FERNANDES
19	06160-004	7619	JESSICA BRAGA LAKISS GUSMÃO
20	06310-180	24058	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
21	06385-180	16413	KAIRO ROSA NEVES DE OLIVEIRA
22	06364-680	38439	LUCAS ERMINO TAVARES
23	06330-140	8529	LUISA BELUS HENRIQUES
24	06381-095	17352	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
25	25011-330	37741	MARCELO KOSARCZUK DA COSTA
26	25020-190	1803	MARCELO SEMERENE FARAH
27	25050-680	3774	MARIA HELENA C P GODEIRO GASPARINETTI
28	25010-700	34328	MATEUS DRIGO DA SILVA
29	25270-540	29167	MATHEUS AMARAL MÕES
30	25040-240	22619	REGINALDO DE MIRANDA TEODORO
31	25610-200	50561	ROBERTA CRISTINA FORMIGA DE CASTRO
32	25035-800	36530	RAQUEL DE SOUZA BATISTA FONTES
33	25036-200	12126	ALEXANDRE DE ALMEIDA FONSECA
34	25010-000	51031	ALINE BRAGA LAKISS GUSMÃO
35	25050-070	4441	ANA PAULA GARUTTI DA SILVA
36	25235-000	19874	ANA PAULA GONÇALVES DOS SANTOS
37	25200-000	29073	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
38	25220-750	38333	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
39	25040-360	23572	DANIEL ROCHA SANTANNA
40	25045-520	17667	DANIELA DE GOES NOGUEIRA GEORG
41	25730-500	13470	DAVI KHOURY OLIVEIRA
42	25086-450	14364	DEMILTON CARVALHO LEITE JUNIOR
43	25070-440	18666	DENIS BORGARELLI TAVARES
44	25085-105	37304	EDUARDO CAMPEDELLI KAVAMOTO
45	25730-500	19882	FABIO NETTO PINHEIRO GRANDE
46	25010-026	10449	FELIPE SANTOS ARAÚJO
47	25070-330	31362	GERALDO RODRIGUES DA SILVA JÚNIOR
48	03975-100	29488	HUGO AZEVEDO BERGAMASCHI
49	03245-100	15233	HUGO CRISOSTOMO DE MACEDO
50	08485-600	25140	HUGO DE MARCO FERNANDES
51	08380-180	12222	JESSICA BRAGA LAKISS GUSMÃO
52	08330-140	24855	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
53	08471-730	18719	KAIRO ROSA NEVES DE OLIVEIRA
54	03981-110	19389	LUCAS ERMINO TAVARES
55	08470-210	8387	LUISA BELUS HENRIQUES
56	03244-070	5428	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
57	03502-010	43248	MARCELO KOSARCZUK DA COSTA
58	08340-510	27335	MARCELO SEMERENE FARAH
59	03977-535	40908	MARIA HELENA C P GODEIRO GASPARINETTI
60	08370-540	48426	MATEUS DRIGO DA SILVA
61	03977-080	40275	MATHEUS AMARAL MÕES
62	08341-000	33878	REGINALDO DE MIRANDA TEODORO
63	08390-240	28780	ROBERTA CRISTINA FORMIGA DE CASTRO
64	04851-000	35899	RAQUEL DE SOUZA BATISTA FONTES
65	04848-060	17819	ALEXANDRE DE ALMEIDA FONSECA
66	04851-504	40066	ALINE BRAGA LAKISS GUSMÃO
67	04855-030	39832	ANA PAULA GARUTTI DA SILVA
68	04849-307	17953	ANA PAULA GONÇALVES DOS SANTOS
69	04851-717	14113	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
70	04849-320	7883	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
